день,хмарність,опади,денна температура повітря,нічна температура повітря,сила вітру,період
20,34%,-,-4.5°C,-10.5°C,2 м/с,2026-02
21,5%,-,-5.5°C,-17.5°C,2 м/с,2026-02
22,100%,-,0.0°C,-10.0°C,3 м/с,2026-02
23,98%,1 м.м.,1.5°C,0.5°C,5 м/с,2026-02
24,95%,-,1.0°C,1.0°C,2 м/с,2026-02
25,99%,2 м.м.,0.0°C,0.0°C,3 м/с,2026-02
26,91%,-,-2.0°C,-4.0°C,3 м/с,2026-02
27,65%,-,-0.5°C,-3.0°C,1 м/с,2026-02
28,63%,-,0.5°C,-4.0°C,3 м/с,2026-02
1,42%,-,-10.0°C,-10.5°C,3 м/с,2026-01
2,94%,-,0.0°C,-3.5°C,6 м/с,2026-01
3,55%,-,-1.0°C,-2.0°C,3 м/с,2026-01
4,43%,-,-2.0°C,-6.0°C,3 м/с,2026-01
5,39%,-,-4.5°C,-8.0°C,2 м/с,2026-01
6,97%,2 м.м.,-2.5°C,-4.0°C,3 м/с,2026-01
7,100%,3 м.м.,-3.0°C,-1.5°C,4 м/с,2026-01
8,100%,5 м.м.,-2.5°C,-3.0°C,4 м/с,2026-01
9,99%,1 м.м.,-8.0°C,-5.0°C,7 м/с,2026-01
10,74%,-,-11.0°C,-10.0°C,4 м/с,2026-01
11,67%,-,-11.0°C,-16.5°C,2 м/с,2026-01
12,86%,-,-10.5°C,-14.0°C,2 м/с,2026-01
13,68%,-,-12.5°C,-17.5°C,2 м/с,2026-01
14,84%,-,-10.0°C,-12.0°C,1 м/с,2026-01
15,67%,-,-12.0°C,-19.0°C,2 м/с,2026-01
16,20%,-,-11.0°C,-15.0°C,3 м/с,2026-01
17,30%,-,-10.5°C,-15.5°C,4 м/с,2026-01
18,54%,-,-9.0°C,-14.0°C,3 м/с,2026-01
19,46%,-,-9.0°C,-15.5°C,2 м/с,2026-01
20,28%,-,-7.0°C,-14.0°C,2 м/с,2026-01
21,3%,-,-6.0°C,-12.5°C,2 м/с,2026-01
22,85%,-,-2.5°C,-12.0°C,3 м/с,2026-01
23,98%,-,-6.5°C,-6.0°C,4 м/с,2026-01
24,85%,-,-9.0°C,-10.0°C,3 м/с,2026-01
25,90%,1 м.м.,-7.0°C,-9.5°C,3 м/с,2026-01
26,100%,-,-4.5°C,-6.5°C,6 м/с,2026-01
27,100%,1 м.м.,-3.5°C,-2.5°C,4 м/с,2026-01
28,100%,2 м.м.,0.5°C,-2.5°C,2 м/с,2026-01
29,100%,-,0.0°C,0.0°C,2 м/с,2026-01
30,97%,-,-9.0°C,-7.5°C,6 м/с,2026-01
31,84%,-,-11.5°C,-12.5°C,6 м/с,2026-01
1,73%,-,5.0°C,3.0°C,2 м/с,2025-12
2,100%,-,6.0°C,5.0°C,1 м/с,2025-12
3,93%,-,6.5°C,5.0°C,2 м/с,2025-12
4,75%,-,7.0°C,6.0°C,4 м/с,2025-12
5,23%,-,5.5°C,4.5°C,4 м/с,2025-12
6,39%,-,3.0°C,0.5°C,4 м/с,2025-12
7,62%,-,4.0°C,0.0°C,4 м/с,2025-12
8,36%,-,2.0°C,0.0°C,2 м/с,2025-12
9,66%,2 м.м.,2.5°C,-0.5°C,3 м/с,2025-12
10,83%,-,5.0°C,4.5°C,2 м/с,2025-12
11,86%,-,8.0°C,5.5°C,3 м/с,2025-12
12,79%,-,7.0°C,6.5°C,5 м/с,2025-12
13,31%,-,0.0°C,0.5°C,4 м/с,2025-12
14,100%,2 м.м.,2.0°C,-1.0°C,4 м/с,2025-12
15,90%,-,3.0°C,-0.5°C,4 м/с,2025-12
16,28%,-,5.0°C,4.0°C,2 м/с,2025-12
17,48%,-,4.0°C,2.0°C,3 м/с,2025-12
18,18%,-,5.0°C,2.5°C,3 м/с,2025-12
19,3%,-,3.0°C,0.5°C,1 м/с,2025-12
20,2%,-,3.0°C,0.0°C,2 м/с,2025-12
21,54%,-,3.0°C,0.0°C,2 м/с,2025-12
22,73%,-,2.0°C,2.0°C,3 м/с,2025-12
23,82%,-,1.0°C,0.5°C,3 м/с,2025-12
24,0%,-,-5.0°C,-5.5°C,3 м/с,2025-12
25,9%,-,-3.5°C,-7.0°C,3 м/с,2025-12
26,97%,2 м.м.,0.0°C,-2.5°C,8 м/с,2025-12
27,100%,-,0.0°C,-1.0°C,5 м/с,2025-12
28,83%,1 м.м.,-1.0°C,-1.5°C,7 м/с,2025-12
29,96%,1 м.м.,-1.0°C,-3.5°C,7 м/с,2025-12
30,66%,-,-4.0°C,-2.5°C,5 м/с,2025-12
31,93%,1 м.м.,-4.0°C,-7.0°C,5 м/с,2025-12
1,67%,-,9.5°C,6.0°C,2 м/с,2025-11
2,33%,-,11.5°C,6.5°C,4 м/с,2025-11
3,25%,-,14.5°C,8.5°C,5 м/с,2025-11
4,98%,-,11.5°C,10.0°C,4 м/с,2025-11
5,43%,-,12.5°C,10.0°C,2 м/с,2025-11
6,16%,-,11.0°C,7.0°C,1 м/с,2025-11
7,7%,-,11.0°C,6.5°C,1 м/с,2025-11
8,2%,-,11.0°C,6.0°C,2 м/с,2025-11
9,64%,-,10.0°C,6.5°C,2 м/с,2025-11
10,45%,-,12.5°C,9.0°C,1 м/с,2025-11
11,87%,2 м.м.,8.5°C,9.0°C,3 м/с,2025-11
12,97%,-,7.5°C,6.5°C,3 м/с,2025-11
13,56%,-,6.5°C,5.0°C,2 м/с,2025-11
14,19%,-,9.5°C,4.5°C,5 м/с,2025-11
15,50%,-,10.0°C,8.0°C,5 м/с,2025-11
16,50%,-,3.5°C,1.5°C,3 м/с,2025-11
17,59%,-,11.5°C,6.5°C,4 м/с,2025-11
18,61%,-,6.5°C,10.5°C,6 м/с,2025-11
19,32%,-,4.0°C,0.5°C,2 м/с,2025-11
20,59%,-,3.5°C,0.5°C,3 м/с,2025-11
21,100%,1 м.м.,7.0°C,5.5°C,2 м/с,2025-11
22,98%,-,7.0°C,8.5°C,3 м/с,2025-11
23,94%,-,6.0°C,4.0°C,4 м/с,2025-11
24,24%,-,3.0°C,2.0°C,4 м/с,2025-11
25,40%,-,6.5°C,3.5°C,4 м/с,2025-11
26,83%,-,11.0°C,9.5°C,5 м/с,2025-11
27,100%,-,7.5°C,10.0°C,3 м/с,2025-11
28,98%,-,4.0°C,4.0°C,2 м/с,2025-11
29,68%,-,8.0°C,5.0°C,2 м/с,2025-11
30,37%,-,6.0°C,3.5°C,3 м/с,2025-11
1,94%,1 м.м.,8.5°C,6.0°C,5 м/с,2025-10
2,97%,1 м.м.,7.0°C,5.0°C,2 м/с,2025-10
3,59%,-,13.5°C,5.5°C,3 м/с,2025-10
4,52%,1 м.м.,16.0°C,8.5°C,3 м/с,2025-10
5,71%,-,12.5°C,11.0°C,3 м/с,2025-10
6,68%,-,13.5°C,10.0°C,1 м/с,2025-10
7,74%,-,13.5°C,10.5°C,3 м/с,2025-10
8,97%,-,12.5°C,10.0°C,4 м/с,2025-10
9,94%,4 м.м.,11.5°C,10.5°C,4 м/с,2025-10
10,95%,2 м.м.,11.5°C,10.5°C,5 м/с,2025-10
11,76%,2 м.м.,10.5°C,10.0°C,4 м/с,2025-10
12,62%,-,13.5°C,9.0°C,5 м/с,2025-10
13,67%,-,10.0°C,6.0°C,5 м/с,2025-10
14,80%,-,8.5°C,5.0°C,4 м/с,2025-10
15,76%,-,9.0°C,6.0°C,3 м/с,2025-10
16,73%,-,11.5°C,5.5°C,3 м/с,2025-10
17,72%,-,11.5°C,9.0°C,4 м/с,2025-10
18,64%,1 м.м.,12.0°C,9.5°C,3 м/с,2025-10
19,93%,1 м.м.,6.0°C,6.0°C,3 м/с,2025-10
20,85%,-,7.5°C,4.5°C,3 м/с,2025-10
21,63%,-,9.5°C,7.0°C,2 м/с,2025-10
22,56%,-,9.0°C,4.5°C,4 м/с,2025-10
23,72%,-,14.5°C,9.0°C,5 м/с,2025-10
24,86%,1 м.м.,13.5°C,10.5°C,6 м/с,2025-10
25,91%,1 м.м.,8.0°C,10.0°C,6 м/с,2025-10
26,34%,-,11.0°C,6.0°C,3 м/с,2025-10
27,52%,-,11.0°C,6.5°C,3 м/с,2025-10
28,72%,-,9.5°C,7.0°C,4 м/с,2025-10
29,71%,1 м.м.,10.5°C,7.0°C,5 м/с,2025-10
30,34%,-,12.5°C,6.0°C,4 м/с,2025-10
31,21%,-,12.0°C,10.0°C,5 м/с,2025-10
1,20%,-,31.0°C,21.0°C,4 м/с,2025-09
2,4%,-,25.5°C,17.5°C,4 м/с,2025-09
3,1%,-,26.0°C,15.0°C,2 м/с,2025-09
4,0%,-,26.5°C,15.0°C,2 м/с,2025-09
5,6%,-,26.0°C,15.5°C,2 м/с,2025-09
6,18%,-,25.5°C,15.5°C,3 м/с,2025-09
7,10%,-,24.0°C,14.5°C,3 м/с,2025-09
8,37%,-,24.0°C,15.5°C,3 м/с,2025-09
9,37%,-,26.5°C,17.5°C,3 м/с,2025-09
10,41%,-,24.5°C,17.0°C,2 м/с,2025-09
11,4%,-,23.5°C,15.0°C,4 м/с,2025-09
12,44%,-,23.5°C,14.5°C,4 м/с,2025-09
13,32%,-,24.0°C,16.5°C,4 м/с,2025-09
14,11%,-,21.5°C,13.5°C,5 м/с,2025-09
15,21%,-,24.0°C,13.5°C,4 м/с,2025-09
16,10%,-,24.5°C,15.0°C,2 м/с,2025-09
17,61%,3 м.м.,15.5°C,15.5°C,2 м/с,2025-09
18,68%,-,18.0°C,11.5°C,5 м/с,2025-09
19,33%,-,20.5°C,12.0°C,4 м/с,2025-09
20,6%,-,20.5°C,13.5°C,3 м/с,2025-09
21,3%,-,27.0°C,14.5°C,3 м/с,2025-09
22,1%,-,27.5°C,16.5°C,4 м/с,2025-09
23,2%,-,25.0°C,15.5°C,4 м/с,2025-09
24,85%,-,12.0°C,14.0°C,4 м/с,2025-09
25,0%,-,14.5°C,6.5°C,3 м/с,2025-09
26,4%,-,13.5°C,6.5°C,2 м/с,2025-09
27,9%,-,14.5°C,7.0°C,1 м/с,2025-09
28,100%,-,11.5°C,10.5°C,1 м/с,2025-09
29,85%,-,15.0°C,10.0°C,4 м/с,2025-09
30,97%,-,11.0°C,10.5°C,6 м/с,2025-09
1,25%,-,24.0°C,15.0°C,4 м/с,2025-08
2,16%,-,26.5°C,17.0°C,1 м/с,2025-08
3,17%,-,26.5°C,18.0°C,3 м/с,2025-08
4,19%,-,28.0°C,19.0°C,3 м/с,2025-08
5,18%,-,27.5°C,19.5°C,3 м/с,2025-08
6,37%,-,27.5°C,20.0°C,3 м/с,2025-08
7,15%,-,23.5°C,16.0°C,3 м/с,2025-08
8,29%,-,24.5°C,15.5°C,1 м/с,2025-08
9,29%,-,26.5°C,17.0°C,3 м/с,2025-08
10,22%,-,26.5°C,17.0°C,2 м/с,2025-08
11,32%,-,23.5°C,16.0°C,6 м/с,2025-08
12,24%,-,24.5°C,14.5°C,4 м/с,2025-08
13,32%,-,25.0°C,16.0°C,2 м/с,2025-08
14,22%,-,26.5°C,17.0°C,3 м/с,2025-08
15,6%,-,24.5°C,15.0°C,3 м/с,2025-08
16,3%,-,27.0°C,16.0°C,2 м/с,2025-08
17,21%,-,27.5°C,18.0°C,4 м/с,2025-08
18,24%,-,22.5°C,15.5°C,4 м/с,2025-08
19,8%,-,23.0°C,13.5°C,3 м/с,2025-08
20,15%,-,25.0°C,14.5°C,2 м/с,2025-08
21,20%,-,27.0°C,18.5°C,3 м/с,2025-08
22,78%,2 м.м.,21.5°C,18.0°C,3 м/с,2025-08
23,52%,-,21.0°C,14.5°C,4 м/с,2025-08
24,48%,2 м.м.,16.5°C,14.0°C,4 м/с,2025-08
25,32%,-,20.0°C,11.0°C,6 м/с,2025-08
26,80%,1 м.м.,17.0°C,13.0°C,4 м/с,2025-08
27,21%,-,22.5°C,12.0°C,3 м/с,2025-08
28,5%,-,26.0°C,12.0°C,3 м/с,2025-08
29,0%,-,30.0°C,17.0°C,4 м/с,2025-08
30,0%,-,32.0°C,18.5°C,4 м/с,2025-08
31,6%,-,32.5°C,20.0°C,2 м/с,2025-08
1,37%,-,21.0°C,13.0°C,6 м/с,2025-07
2,40%,-,23.0°C,14.5°C,5 м/с,2025-07
3,15%,-,28.0°C,16.5°C,3 м/с,2025-07
4,27%,1 м.м.,30.0°C,20.5°C,4 м/с,2025-07
5,23%,-,24.5°C,17.0°C,3 м/с,2025-07
6,16%,-,28.0°C,16.5°C,3 м/с,2025-07
7,9%,-,32.0°C,19.5°C,2 м/с,2025-07
8,39%,1 м.м.,32.0°C,24.0°C,4 м/с,2025-07
9,20%,-,32.5°C,23.0°C,5 м/с,2025-07
10,12%,-,30.5°C,20.5°C,5 м/с,2025-07
11,19%,-,24.5°C,15.5°C,4 м/с,2025-07
12,10%,-,26.5°C,15.5°C,2 м/с,2025-07
13,34%,-,27.5°C,18.5°C,2 м/с,2025-07
14,31%,-,30.5°C,19.5°C,2 м/с,2025-07
15,23%,-,28.0°C,20.5°C,4 м/с,2025-07
16,38%,4 м.м.,28.0°C,19.0°C,3 м/с,2025-07
17,65%,2 м.м.,18.0°C,16.5°C,2 м/с,2025-07
18,67%,-,19.0°C,15.5°C,2 м/с,2025-07
19,63%,2 м.м.,21.0°C,15.0°C,3 м/с,2025-07
20,96%,2 м.м.,22.0°C,15.5°C,4 м/с,2025-07
21,71%,-,25.0°C,16.0°C,3 м/с,2025-07
22,44%,1 м.м.,30.0°C,18.5°C,3 м/с,2025-07
23,34%,-,26.5°C,18.0°C,5 м/с,2025-07
24,16%,-,28.0°C,17.5°C,3 м/с,2025-07
25,46%,-,27.0°C,20.0°C,2 м/с,2025-07
26,34%,-,25.5°C,20.0°C,2 м/с,2025-07
27,39%,-,25.0°C,21.0°C,2 м/с,2025-07
28,56%,3 м.м.,29.5°C,19.5°C,4 м/с,2025-07
29,42%,4 м.м.,27.0°C,19.0°C,4 м/с,2025-07
30,97%,5 м.м.,19.0°C,18.5°C,3 м/с,2025-07
31,41%,-,22.5°C,15.0°C,5 м/с,2025-07
1,42%,-,21.5°C,14.5°C,2 м/с,2025-06
2,30%,-,25.0°C,15.5°C,3 м/с,2025-06
3,46%,2 м.м.,27.5°C,17.5°C,3 м/с,2025-06
4,52%,-,22.5°C,15.0°C,3 м/с,2025-06
5,15%,-,25.0°C,16.0°C,4 м/с,2025-06
6,36%,-,28.5°C,18.5°C,4 м/с,2025-06
7,19%,-,29.5°C,20.0°C,3 м/с,2025-06
8,29%,-,28.5°C,21.0°C,5 м/с,2025-06
9,25%,-,22.5°C,19.0°C,5 м/с,2025-06
10,24%,-,19.5°C,12.5°C,3 м/с,2025-06
11,54%,3 м.м.,18.5°C,13.0°C,3 м/с,2025-06
12,82%,-,15.5°C,12.0°C,5 м/с,2025-06
13,86%,3 м.м.,16.5°C,11.0°C,6 м/с,2025-06
14,86%,1 м.м.,18.0°C,12.0°C,5 м/с,2025-06
15,65%,-,22.0°C,13.5°C,5 м/с,2025-06
16,21%,-,24.5°C,14.0°C,4 м/с,2025-06
17,43%,2 м.м.,19.5°C,17.5°C,4 м/с,2025-06
18,30%,-,22.5°C,14.5°C,5 м/с,2025-06
19,61%,-,21.5°C,17.0°C,6 м/с,2025-06
20,74%,-,16.5°C,11.5°C,7 м/с,2025-06
21,74%,1 м.м.,16.5°C,12.0°C,5 м/с,2025-06
22,56%,-,17.0°C,12.5°C,4 м/с,2025-06
23,19%,-,20.5°C,11.5°C,4 м/с,2025-06
24,63%,2 м.м.,20.0°C,14.5°C,5 м/с,2025-06
25,49%,1 м.м.,23.0°C,14.5°C,5 м/с,2025-06
26,66%,-,19.0°C,15.0°C,6 м/с,2025-06
27,47%,1 м.м.,22.5°C,14.0°C,2 м/с,2025-06
28,79%,2 м.м.,19.5°C,16.0°C,6 м/с,2025-06
29,66%,-,20.5°C,13.5°C,5 м/с,2025-06
30,24%,-,21.0°C,14.5°C,6 м/с,2025-06
1,23%,-,16.5°C,12.0°C,5 м/с,2025-05
2,2%,-,14.0°C,6.0°C,2 м/с,2025-05
3,36%,1 м.м.,22.0°C,9.0°C,5 м/с,2025-05
4,48%,1 м.м.,23.0°C,13.0°C,5 м/с,2025-05
5,78%,-,13.5°C,13.5°C,3 м/с,2025-05
6,78%,-,12.5°C,6.5°C,3 м/с,2025-05
7,75%,1 м.м.,12.5°C,8.0°C,2 м/с,2025-05
8,40%,-,12.5°C,6.0°C,3 м/с,2025-05
9,69%,-,11.0°C,6.0°C,3 м/с,2025-05
10,69%,1 м.м.,12.5°C,5.5°C,3 м/с,2025-05
11,47%,-,13.0°C,5.0°C,3 м/с,2025-05
12,57%,-,13.5°C,5.5°C,3 м/с,2025-05
13,92%,3 м.м.,12.5°C,6.5°C,3 м/с,2025-05
14,34%,-,15.5°C,5.5°C,3 м/с,2025-05
15,86%,1 м.м.,15.0°C,9.5°C,5 м/с,2025-05
16,98%,2 м.м.,5.5°C,7.0°C,2 м/с,2025-05
17,94%,1 м.м.,10.0°C,7.0°C,2 м/с,2025-05
18,59%,1 м.м.,15.5°C,8.0°C,4 м/с,2025-05
19,54%,1 м.м.,16.0°C,7.5°C,2 м/с,2025-05
20,51%,-,12.5°C,9.5°C,4 м/с,2025-05
21,22%,-,20.0°C,10.5°C,5 м/с,2025-05
22,29%,-,22.0°C,12.5°C,4 м/с,2025-05
23,61%,2 м.м.,21.5°C,13.0°C,5 м/с,2025-05
24,68%,-,20.0°C,14.0°C,4 м/с,2025-05
25,87%,1 м.м.,16.0°C,13.0°C,2 м/с,2025-05
26,87%,3 м.м.,17.5°C,14.0°C,3 м/с,2025-05
27,80%,-,20.0°C,15.0°C,4 м/с,2025-05
28,94%,2 м.м.,17.0°C,15.0°C,3 м/с,2025-05
29,59%,2 м.м.,18.5°C,13.5°C,3 м/с,2025-05
30,76%,-,18.0°C,13.0°C,4 м/с,2025-05
31,27%,-,21.5°C,13.0°C,4 м/с,2025-05
1,100%,8 м.м.,8.0°C,9.0°C,5 м/с,2025-04
2,41%,-,13.5°C,8.0°C,5 м/с,2025-04
3,26%,-,13.5°C,7.0°C,4 м/с,2025-04
4,18%,-,17.0°C,8.0°C,3 м/с,2025-04
5,72%,4 м.м.,12.0°C,9.5°C,4 м/с,2025-04
6,76%,-,5.5°C,2.5°C,3 м/с,2025-04
7,84%,-,2.0°C,-1.0°C,6 м/с,2025-04
8,61%,-,3.5°C,-1.5°C,6 м/с,2025-04
9,62%,-,4.5°C,-1.5°C,3 м/с,2025-04
10,97%,2 м.м.,0.0°C,1.0°C,6 м/с,2025-04
11,35%,-,3.5°C,-2.5°C,2 м/с,2025-04
12,54%,-,9.5°C,0.0°C,2 м/с,2025-04
13,33%,-,13.0°C,3.5°C,2 м/с,2025-04
14,18%,-,15.5°C,7.5°C,5 м/с,2025-04
15,43%,-,16.0°C,7.5°C,5 м/с,2025-04
16,83%,1 м.м.,12.0°C,11.0°C,4 м/с,2025-04
17,36%,-,21.0°C,12.0°C,5 м/с,2025-04
18,6%,-,21.5°C,12.5°C,5 м/с,2025-04
19,45%,-,20.5°C,13.0°C,3 м/с,2025-04
20,2%,-,22.5°C,12.5°C,3 м/с,2025-04
21,6%,-,23.5°C,13.5°C,3 м/с,2025-04
22,3%,-,23.5°C,14.0°C,3 м/с,2025-04
23,17%,-,25.5°C,15.5°C,1 м/с,2025-04
24,23%,-,25.5°C,16.5°C,2 м/с,2025-04
25,32%,1 м.м.,23.5°C,15.0°C,3 м/с,2025-04
26,35%,-,12.5°C,9.5°C,5 м/с,2025-04
27,12%,-,9.5°C,4.5°C,4 м/с,2025-04
28,21%,-,14.0°C,4.0°C,2 м/с,2025-04
29,60%,-,18.5°C,9.0°C,4 м/с,2025-04
30,39%,-,18.0°C,11.5°C,3 м/с,2025-04
1,100%,1 м.м.,0.5°C,-1.5°C,4 м/с,
2,86%,-,3.5°C,0.0°C,2 м/с,
3,99%,-,3.0°C,-0.5°C,4 м/с,
4,59%,-,7.5°C,2.0°C,6 м/с,
5,74%,-,9.0°C,5.0°C,7 м/с,
6,8%,-,15.0°C,8.0°C,6 м/с,
7,22%,-,15.0°C,7.0°C,3 м/с,
8,31%,-,14.0°C,7.5°C,1 м/с,
9,15%,-,15.5°C,7.5°C,2 м/с,
10,42%,-,13.0°C,8.0°C,4 м/с,
11,29%,-,17.5°C,9.0°C,4 м/с,
12,70%,3 м.м.,11.5°C,10.0°C,4 м/с,
13,62%,1 м.м.,15.5°C,9.5°C,6 м/с,
14,11%,-,12.0°C,12.5°C,5 м/с,
15,76%,2 м.м.,4.5°C,10.0°C,4 м/с,
16,41%,-,4.5°C,0.5°C,3 м/с,
17,71%,-,5.0°C,0.5°C,4 м/с,
18,48%,-,2.5°C,-2.0°C,6 м/с,
19,86%,-,4.0°C,0.0°C,3 м/с,
20,1%,-,9.0°C,1.5°C,2 м/с,
21,2%,-,12.5°C,4.5°C,2 м/с,
22,12%,-,12.5°C,6.5°C,3 м/с,
23,73%,-,12.0°C,5.0°C,4 м/с,
24,91%,-,10.5°C,6.5°C,7 м/с,
25,86%,-,10.5°C,7.0°C,4 м/с,
26,0%,-,9.5°C,3.0°C,2 м/с,
27,35%,-,13.0°C,5.5°C,1 м/с,
28,25%,-,12.5°C,6.5°C,3 м/с,
29,4%,-,13.5°C,5.5°C,5 м/с,
30,50%,-,12.5°C,5.5°C,4 м/с,
31,98%,-,12.0°C,9.0°C,3 м/с,
